"GO_term_ID","gene_index","Uniprot_ID","gene_symbol","gene_name","GO_term_name","GO_term_definition"
"GO:0001774",4202,"P15260","IFNGR1","Interferon gamma receptor 1","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",4483,"P20160","AZU1","Azurocidin","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",4501,"P20393","NR1D1","Nuclear receptor subfamily 1 group D member 1","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",4576,"P21730","C5AR1","C5a anaphylatoxin chemotactic receptor 1","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",4655,"P22894","MMP8","Neutrophil collagenase","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",4909,"P28799","GRN","Progranulin","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",5182,"P35225","IL13","Interleukin-13","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",5324,"P37840","SNCA","Alpha-synuclein","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",5331,"P38484","IFNGR2","Interferon gamma receptor 2","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",5738,"P49238","CX3CR1","CX3C chemokine receptor 1","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",6094,"P53634","CTSC","Dipeptidyl peptidase 1","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",6176,"P55008","AIF1","Allograft inflammatory factor 1","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",6745,"P78423","CX3CL1","Fractalkine","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",7531,"Q13315","ATM","Serine-protein kinase ATM","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",8065,"Q15109","AGER","Advanced glycosylation end product-specific receptor","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",9188,"Q5S007","LRRK2","Leucine-rich repeat serine/threonine-protein kinase 2","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",9389,"Q5TCY1","TTBK1","Tau-tubulin kinase 1","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",10963,"Q7Z5A8","TAFA3","Chemokine-like protein TAFA-3","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",12663,"Q8NER1","TRPV1","Transient receptor potential cation channel subfamily V member 1","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",15629,"Q9BT88","SYT11","Synaptotagmin-11","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",17308,"Q9NR96","TLR9","Toll-like receptor 9","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",17754,"Q9NYA1","SPHK1","Sphingosine kinase 1","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",17841,"Q9NZC2","TREM2","Triggering receptor expressed on myeloid cells 2","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0001774",18713,"Q9ULZ2","STAP1","Signal-transducing adaptor protein 1","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0002282",1907,"O43914","TYROBP","TYRO protein tyrosine kinase-binding protein","microglial cell activation involved in immune response","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:0002282",2818,"O95760","IL33","Interleukin-33","microglial cell activation involved in immune response","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:0002282",4909,"P28799","GRN","Progranulin","microglial cell activation involved in immune response","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:0002282",5738,"P49238","CX3CR1","CX3C chemokine receptor 1","microglial cell activation involved in immune response","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:0002282",17841,"Q9NZC2","TREM2","Triggering receptor expressed on myeloid cells 2","microglial cell activation involved in immune response","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:0007403",5181,"P35222","CTNNB1","Catenin beta-1","glial cell fate determination","The cell fate determination process in which a cell becomes capable of differentiating autonomously into a glial cell regardless of its environment; upon determination, the cell fate cannot be reversed."
"GO:0008347",2152,"O75044","SRGAP2","SLIT-ROBO Rho GTPase-activating protein 2","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",2329,"O75553","DAB1","Disabled homolog 1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",2561,"O94901","SUN1","SUN domain-containing protein 1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",2585,"O94967","WDR47","WD repeat-containing protein 47","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",2784,"O95631","NTN1","Netrin-1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",3106,"P02461","COL3A1","Collagen alpha-1(III) chain","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",3412,"P07686","HEXB","Beta-hexosaminidase subunit beta","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",3426,"P07942","LAMB1","Laminin subunit beta-1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",3561,"P09603","CSF1","Macrophage colony-stimulating factor 1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",3756,"P0DJJ0","SRGAP2C","SLIT-ROBO Rho GTPase-activating protein 2C","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",3886,"P10071","GLI3","Transcriptional activator GLI3","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",3898,"P10147","CCL3","C-C motif chemokine 3","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",3910,"P10301","RRAS","Ras-related protein R-Ras","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",4083,"P13500","CCL2","C-C motif chemokine 2","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",4151,"P14415","ATP1B2","Sodium/potassium-transporting ATPase subunit beta-2","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",4483,"P20160","AZU1","Azurocidin","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",4557,"P21359","NF1","Neurofibromin","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",4592,"P21926","CD9","CD9 antigen","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",4685,"P23467","PTPRB","Receptor-type tyrosine-protein phosphatase beta","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",5005,"P30536","TSPO","Translocator protein","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",5102,"P32249","GPR183","G-protein coupled receptor 183","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",5181,"P35222","CTNNB1","Catenin beta-1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",5436,"P41597","CCR2","C-C chemokine receptor type 2","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",5494,"P43034","PAFAH1B1","Platelet-activating factor acetylhydrolase IB subunit beta","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",5580,"P46109","CRKL","Crk-like protein","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",5634,"P47900","P2RY1","P2Y purinoceptor 1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",5738,"P49238","CX3CR1","CX3C chemokine receptor 1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",5858,"P50281","MMP14","Matrix metalloproteinase-14","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",6155,"P54764","EPHA4","Ephrin type-A receptor 4","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",6226,"P55316","FOXG1","Forkhead box protein G1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",6541,"P61812","TGFB2","Transforming growth factor beta-2 proprotein","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",6557,"P62070","RRAS2","Ras-related protein R-Ras2","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",6745,"P78423","CX3CL1","Fractalkine","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",6750,"P78509","RELN","Reelin","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",6883,"Q00535","CDK5","Cyclin-dependent kinase 5","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",7533,"Q13319","CDK5R2","Cyclin-dependent kinase 5 activator 2","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",7754,"Q14114","LRP8","Low-density lipoprotein receptor-related protein 8","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",7781,"Q14160","SCRIB","Protein scribble homolog","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",8061,"Q15078","CDK5R1","Cyclin-dependent kinase 5 activator 1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",9534,"Q5VWQ8","DAB2IP","Disabled homolog 2-interacting protein","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",10225,"Q6UVK1","CSPG4","Chondroitin sulfate proteoglycan 4","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",11885,"Q8J025","APCDD1","Protein APCDD1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",13655,"Q8WXH0","SYNE2","Nesprin-2","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",14435,"Q96G23","CERS2","Ceramide synthase 2","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",14802,"Q96MC5","BMERB1","bMERB domain-containing protein 1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",14865,"Q96N66","MBOAT7","Lysophospholipid acyltransferase 7","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",15264,"Q99571","P2RX4","P2X purinoceptor 4","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",15281,"Q99608","NDN","Necdin","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",16421,"Q9H244","P2RY12","P2Y purinoceptor 12","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",17224,"Q9NQC3","RTN4","Reticulon-4","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",17338,"Q9NRI5","DISC1","Disrupted in schizophrenia 1 protein","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",17841,"Q9NZC2","TREM2","Triggering receptor expressed on myeloid cells 2","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",18302,"Q9UH99","SUN2","SUN domain-containing protein 2","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",18662,"Q9ULJ6","ZMIZ1","Zinc finger MIZ domain-containing protein 1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",18713,"Q9ULZ2","STAP1","Signal-transducing adaptor protein 1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",19199,"Q9Y466","NR2E1","Nuclear receptor subfamily 2 group E member 1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0008347",19446,"Q9Y653","ADGRG1","Adhesion G-protein coupled receptor G1","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system."
"GO:0010001",1147,"O00206","TLR4","Toll-like receptor 4","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",1235,"O00499","BIN1","Myc box-dependent-interacting protein 1","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",1248,"O00548","DLL1","Delta-like protein 1","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",1255,"O00570","SOX1","Transcription factor SOX-1","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",1275,"O00712","NFIB","Nuclear factor 1 B-type","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",1293,"O14495","PLPP3","Phospholipid phosphatase 3","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",1379,"O14744","PRMT5","Protein arginine N-methyltransferase 5","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",1471,"O15013","ARHGEF10","Rho guanine nucleotide exchange factor 10","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",1591,"O15350","TP73","Tumor protein p73","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",1648,"O15520","FGF10","Fibroblast growth factor 10","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",1687,"O43175","PHGDH","D-3-phosphoglycerate dehydrogenase","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",1710,"O43278","SPINT1","Kunitz-type protease inhibitor 1","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",1714,"O43286","B4GALT5","Beta-1,4-galactosyltransferase 5","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2044,"O60603","TLR2","Toll-like receptor 2","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2049,"O60636","TSPAN2","Tetraspanin-2","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2118,"O60883","GPR37L1","G-protein coupled receptor 37-like 1","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2167,"O75083","WDR1","WD repeat-containing protein 1","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2201,"O75164","KDM4A","Lysine-specific demethylase 4A","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2318,"O75509","TNFRSF21","Tumor necrosis factor receptor superfamily member 21","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2329,"O75553","DAB1","Disabled homolog 1","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2529,"O94811","TPPP","Tubulin polymerization-promoting protein","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2616,"O95096","NKX2-2","Homeobox protein Nkx-2.2","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2647,"O95196","CSPG5","Chondroitin sulfate proteoglycan 5","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2818,"O95760","IL33","Interleukin-33","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2876,"O95936","EOMES","Eomesodermin homolog","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2937,"P00441","SOD1","Superoxide dismutase [Cu-Zn]","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2945,"P00519","ABL1","Tyrosine-protein kinase ABL1","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2951,"P00734","F2","Prothrombin","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2988,"P01116","KRAS","GTPase KRas","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2990,"P01130","LDLR","Low-density lipoprotein receptor","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",2993,"P01137","TGFB1","Transforming growth factor beta-1 proprotein","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",3021,"P01375","TNF","Tumor necrosis factor","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",3031,"P01579","IFNG","Interferon gamma","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",3033,"P01584","IL1B","Interleukin-1 beta","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",3131,"P02745","C1QA","Complement C1q subcomponent subunit A","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",3182,"P04004","VTN","Vitronectin","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",3188,"P04062","GBA1","Lysosomal acid glucosylceramidase","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",3199,"P04150","NR3C1","Glucocorticoid receptor","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",3207,"P04198","MYCN","N-myc proto-oncogene protein","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
"GO:0010001",3233,"P04626","ERBB2","Receptor tyrosine-protein kinase erbB-2","glial cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."
